date,pnl,daily_pnl,state,acct_pnl,actual_balance,bankroll,pa_days,pa_wins,payout_num,eval_days,tag
2017-10-17,-420,-420,pa,-272.0,24728.0,1044,6,2,0,0,pa_trade
2017-10-18,704,704,pa,432.0,25432.0,1044,7,3,0,0,pa_trade
2017-10-31,-420,-420,pa,12.0,25012.0,1044,8,3,0,0,pa_trade
2017-11-02,704,704,pa,716.0,25716.0,1044,9,4,0,0,pa_trade
2017-11-06,-420,-420,pa,296.0,25296.0,1044,10,4,0,0,pa_trade
2017-11-08,-420,-420,pa,-124.0,24876.0,1044,11,4,0,0,pa_trade
2017-11-13,-420,0,resetting,0.0,0.0,1004,0,0,0,0,"pa_failed_trailing_dd (PnL: $-544, threshold: $-512)"
2017-11-14,-420,-420,eval,-420.0,-420.0,1004,0,0,0,1,eval_trade
2017-11-15,704,704,eval,284.0,284.0,1004,0,0,0,2,eval_trade
2017-11-16,-420,-420,eval,-136.0,-136.0,1004,0,0,0,3,eval_trade
2017-11-20,-420,-420,eval,-556.0,-556.0,1004,0,0,0,7,eval_trade
2017-11-22,-420,-420,eval,-976.0,-976.0,1004,0,0,0,9,eval_trade
2017-11-27,704,704,eval,-272.0,-272.0,1004,0,0,0,14,eval_trade
2017-12-06,-420,-420,eval,-692.0,-692.0,1004,0,0,0,23,eval_trade
2017-12-07,704,704,eval,12.0,12.0,1004,0,0,0,24,eval_trade
2017-12-12,-420,-420,eval,-408.0,-408.0,1004,0,0,0,29,eval_trade
2017-12-13,704,704,eval,296.0,296.0,1004,0,0,0,30,eval_trade
2017-12-18,-420,-420,resetting,0.0,0.0,964,0,0,0,0,eval_expired_30days
2018-01-02,704,704,eval,704.0,704.0,964,0,0,0,15,eval_trade
2018-01-09,-420,-420,eval,284.0,284.0,964,0,0,0,22,eval_trade
2018-01-15,704,704,eval,988.0,988.0,964,0,0,0,28,eval_trade
2018-01-17,-420,-420,eval,568.0,568.0,964,0,0,0,30,eval_trade
2018-01-22,704,704,resetting,0.0,0.0,924,0,0,0,0,eval_expired_30days
2018-01-23,-420,-420,eval,-420.0,-420.0,924,0,0,0,1,eval_trade
2018-01-31,-420,-420,eval,-840.0,-840.0,924,0,0,0,9,eval_trade
2018-02-05,704,704,eval,-136.0,-136.0,924,0,0,0,14,eval_trade
2018-02-14,704,704,eval,568.0,568.0,924,0,0,0,23,eval_trade
2018-02-15,-420,-420,eval,148.0,148.0,924,0,0,0,24,eval_trade
2018-02-20,-420,-420,eval,-272.0,-272.0,924,0,0,0,29,eval_trade
2018-02-21,-420,-420,eval,-692.0,-692.0,924,0,0,0,30,eval_trade
2018-02-22,704,704,resetting,0.0,0.0,884,0,0,0,0,eval_expired_30days
2018-02-28,704,704,eval,704.0,704.0,884,0,0,0,6,eval_trade
2018-03-05,-420,-420,eval,284.0,284.0,884,0,0,0,11,eval_trade
2018-03-08,704,704,eval,988.0,988.0,884,0,0,0,14,eval_trade
2018-03-19,-420,-420,eval,568.0,568.0,884,0,0,0,25,eval_trade
2018-03-22,-420,-420,eval,148.0,148.0,884,0,0,0,28,eval_trade
2018-03-26,704,704,resetting,0.0,0.0,844,0,0,0,0,eval_expired_30days
2018-04-04,704,704,eval,704.0,704.0,844,0,0,0,9,eval_trade
2018-04-05,-420,-420,eval,284.0,284.0,844,0,0,0,10,eval_trade
2018-04-09,-420,-420,eval,-136.0,-136.0,844,0,0,0,14,eval_trade
2018-04-11,704,704,eval,568.0,568.0,844,0,0,0,16,eval_trade
2018-04-17,-420,-420,eval,148.0,148.0,844,0,0,0,22,eval_trade
2018-04-18,-420,-420,eval,-272.0,-272.0,844,0,0,0,23,eval_trade
2018-04-25,-420,-420,eval,-692.0,-692.0,844,0,0,0,30,eval_trade
2018-05-10,-420,-420,resetting,0.0,0.0,804,0,0,0,0,eval_expired_30days
2018-05-16,-420,-420,eval,-420.0,-420.0,804,0,0,0,6,eval_trade
2018-05-21,-420,-420,eval,-840.0,-840.0,804,0,0,0,11,eval_trade
2018-05-22,704,704,eval,-136.0,-136.0,804,0,0,0,12,eval_trade
2018-05-24,-420,-420,eval,-556.0,-556.0,804,0,0,0,14,eval_trade
2018-05-29,-420,-420,eval,-976.0,-976.0,804,0,0,0,19,eval_trade
2018-06-07,-420,-420,eval,-1396.0,-1396.0,804,0,0,0,28,eval_trade
2018-06-12,-420,-420,resetting,0.0,0.0,764,0,0,0,0,eval_expired_30days
2018-06-14,-420,-420,eval,-420.0,-420.0,764,0,0,0,2,eval_trade
2018-06-18,704,704,eval,284.0,284.0,764,0,0,0,6,eval_trade
2018-06-19,-420,-420,eval,-136.0,-136.0,764,0,0,0,7,eval_trade
2018-06-20,-420,-420,eval,-556.0,-556.0,764,0,0,0,8,eval_trade
2018-06-25,-420,-420,eval,-976.0,-976.0,764,0,0,0,13,eval_trade
2018-06-26,-420,0,resetting,0.0,0.0,724,0,0,0,0,eval_failed_trailing_dd
2018-06-28,704,704,eval,704.0,704.0,724,0,0,0,2,eval_trade
2018-07-02,-420,-420,eval,284.0,284.0,724,0,0,0,6,eval_trade
2018-07-04,-420,-420,eval,-136.0,-136.0,724,0,0,0,8,eval_trade
2018-07-09,-420,-420,eval,-556.0,-556.0,724,0,0,0,13,eval_trade
2018-07-10,-420,0,resetting,0.0,0.0,684,0,0,0,0,eval_failed_trailing_dd
2018-07-12,-420,-420,eval,-420.0,-420.0,684,0,0,0,2,eval_trade
2018-07-17,-420,-420,eval,-840.0,-840.0,684,0,0,0,7,eval_trade
2018-07-19,-420,-420,eval,-1260.0,-1260.0,684,0,0,0,9,eval_trade
2018-07-23,-420,0,resetting,0.0,0.0,644,0,0,0,0,eval_failed_trailing_dd
2018-07-26,-420,-420,eval,-420.0,-420.0,644,0,0,0,3,eval_trade
2018-08-01,-420,-420,eval,-840.0,-840.0,644,0,0,0,9,eval_trade
2018-08-06,704,704,eval,-136.0,-136.0,644,0,0,0,14,eval_trade
2018-08-09,704,704,eval,568.0,568.0,644,0,0,0,17,eval_trade
2018-08-15,-420,-420,eval,148.0,148.0,644,0,0,0,23,eval_trade
2018-08-20,-420,-420,eval,-272.0,-272.0,644,0,0,0,28,eval_trade
2018-08-27,704,704,resetting,0.0,0.0,604,0,0,0,0,eval_expired_30days
2018-08-28,704,704,eval,704.0,704.0,604,0,0,0,1,eval_trade
2018-09-04,704,704,eval,1408.0,1408.0,604,0,0,0,8,eval_trade
2018-09-05,704,704,pa,0.0,25000.0,499,0,0,0,0,passed_eval
2018-09-06,704,704,pa,704.0,25704.0,499,1,1,0,0,pa_trade
2018-09-10,-420,-420,pa,284.0,25284.0,499,2,1,0,0,pa_trade
2018-09-12,-420,-420,pa,-136.0,24864.0,499,3,1,0,0,pa_trade
2018-09-13,-420,-420,pa,-556.0,24444.0,499,4,1,0,0,pa_trade
2018-09-20,-420,0,resetting,0.0,0.0,459,0,0,0,0,"pa_failed_trailing_dd (PnL: $-976, threshold: $-796)"
2018-09-25,704,704,eval,704.0,704.0,459,0,0,0,5,eval_trade
2018-10-02,-420,-420,eval,284.0,284.0,459,0,0,0,12,eval_trade
2018-10-03,704,704,eval,988.0,988.0,459,0,0,0,13,eval_trade
2018-10-04,704,704,pa,0.0,25000.0,354,0,0,0,0,passed_eval
2018-10-09,-420,-420,pa,-420.0,24580.0,354,1,0,0,0,pa_trade
2018-10-11,704,704,pa,284.0,25284.0,354,2,1,0,0,pa_trade
2018-10-16,-420,-420,pa,-136.0,24864.0,354,3,1,0,0,pa_trade
2018-10-17,704,704,pa,568.0,25568.0,354,4,2,0,0,pa_trade
2018-10-22,704,704,pa,1272.0,26272.0,354,5,3,0,0,pa_trade
2018-10-31,-420,-420,pa,852.0,25852.0,354,6,3,0,0,pa_trade
2018-11-07,-420,-420,pa,432.0,25432.0,354,7,3,0,0,pa_trade
2018-11-12,-420,-420,pa,12.0,25012.0,354,8,3,0,0,pa_trade
2018-11-19,704,704,pa,716.0,25716.0,354,9,4,0,0,pa_trade
2018-11-29,-420,-420,pa,296.0,25296.0,354,10,4,0,0,pa_trade
2018-12-03,704,704,pa,1000.0,26000.0,354,11,5,0,0,pa_trade
2018-12-11,704,704,pa,1100.0,26100.0,958,0,0,1,0,payout_1_$604
2018-12-13,704,704,pa,1804.0,26804.0,958,1,1,1,0,pa_trade
2018-12-20,-420,-420,pa,1384.0,26384.0,958,2,1,1,0,pa_trade
2019-01-07,704,704,pa,2088.0,27088.0,958,3,2,1,0,pa_trade
2019-01-08,704,704,pa,2792.0,27792.0,958,4,3,1,0,pa_trade
2019-01-09,-420,-420,pa,2372.0,27372.0,958,5,3,1,0,pa_trade
2019-01-14,704,704,pa,3076.0,28076.0,958,6,4,1,0,pa_trade
2019-01-16,-420,-420,pa,2656.0,27656.0,958,7,4,1,0,pa_trade
2019-01-17,704,704,pa,1860.0,26860.0,2458,0,0,2,0,payout_2_$1500
2019-01-21,704,704,pa,2564.0,27564.0,2458,1,1,2,0,pa_trade
2019-01-24,704,704,pa,3268.0,28268.0,2458,2,2,2,0,pa_trade
2019-01-28,-420,-420,pa,2848.0,27848.0,2458,3,2,2,0,pa_trade
2019-01-30,704,704,pa,3552.0,28552.0,2458,4,3,2,0,pa_trade
2019-02-05,-420,-420,pa,3132.0,28132.0,2458,5,3,2,0,pa_trade
2019-02-06,704,704,pa,3836.0,28836.0,2458,6,4,2,0,pa_trade
2019-02-07,-420,-420,pa,3416.0,28416.0,2458,7,4,2,0,pa_trade
2019-02-11,704,704,pa,2620.0,27620.0,3958,0,0,3,0,payout_3_$1500
2019-02-12,-420,-420,pa,2200.0,27200.0,3958,1,0,3,0,pa_trade
2019-02-14,-420,-420,pa,1780.0,26780.0,3958,2,0,3,0,pa_trade
2019-02-20,-420,-420,pa,1360.0,26360.0,3958,3,0,3,0,pa_trade
2019-02-25,-420,-420,pa,940.0,25940.0,3958,4,0,3,0,pa_trade
2019-02-27,-420,-420,pa,520.0,25520.0,3958,5,0,3,0,pa_trade
2019-02-28,704,704,pa,1224.0,26224.0,3958,6,1,3,0,pa_trade
2019-03-04,-420,-420,pa,804.0,25804.0,3958,7,1,3,0,pa_trade
2019-03-05,704,704,pa,1508.0,26508.0,3958,8,2,3,0,pa_trade
2019-03-07,704,704,pa,2212.0,27212.0,3958,9,3,3,0,pa_trade
2019-03-11,-420,-420,pa,1792.0,26792.0,3958,10,3,3,0,pa_trade
2019-03-18,704,704,pa,2496.0,27496.0,3958,11,4,3,0,pa_trade
2019-03-19,-420,-420,pa,2076.0,27076.0,3958,12,4,3,0,pa_trade
2019-03-20,-420,-420,pa,1656.0,26656.0,3958,13,4,3,0,pa_trade
2019-03-21,-420,-420,pa,1236.0,26236.0,3958,14,4,3,0,pa_trade
2019-03-25,704,704,pa,1100.0,26100.0,4798,0,0,4,0,payout_4_$840
2019-03-27,-420,-420,pa,680.0,25680.0,4798,1,0,4,0,pa_trade
2019-04-02,704,704,pa,1384.0,26384.0,4798,2,1,4,0,pa_trade
2019-04-04,-420,-420,pa,964.0,25964.0,4798,3,1,4,0,pa_trade
2019-04-09,-420,-420,pa,544.0,25544.0,4798,4,1,4,0,pa_trade
2019-04-10,-420,-420,pa,124.0,25124.0,4798,5,1,4,0,pa_trade
2019-04-16,704,704,pa,828.0,25828.0,4798,6,2,4,0,pa_trade
2019-04-17,-420,-420,pa,408.0,25408.0,4798,7,2,4,0,pa_trade
2019-04-23,-420,0,resetting,0.0,0.0,4758,0,0,0,0,"pa_failed_trailing_dd (PnL: $-12, threshold: $100)"
2019-04-24,-420,-420,eval,-420.0,-420.0,4758,0,0,0,1,eval_trade
2019-04-25,-420,-420,eval,-840.0,-840.0,4758,0,0,0,2,eval_trade
2019-04-29,704,704,eval,-136.0,-136.0,4758,0,0,0,6,eval_trade
2019-05-06,-420,-420,eval,-556.0,-556.0,4758,0,0,0,13,eval_trade
2019-05-07,-420,-420,eval,-976.0,-976.0,4758,0,0,0,14,eval_trade
2019-05-08,704,704,eval,-272.0,-272.0,4758,0,0,0,15,eval_trade
2019-05-09,-420,-420,eval,-692.0,-692.0,4758,0,0,0,16,eval_trade
2019-05-14,-420,-420,eval,-1112.0,-1112.0,4758,0,0,0,21,eval_trade
2019-05-16,-420,0,resetting,0.0,0.0,4718,0,0,0,0,eval_failed_trailing_dd
2019-05-22,704,704,eval,704.0,704.0,4718,0,0,0,6,eval_trade
2019-05-27,-420,-420,eval,284.0,284.0,4718,0,0,0,11,eval_trade
2019-05-28,704,704,eval,988.0,988.0,4718,0,0,0,12,eval_trade
2019-05-30,-420,-420,eval,568.0,568.0,4718,0,0,0,14,eval_trade
2019-06-03,-420,-420,eval,148.0,148.0,4718,0,0,0,18,eval_trade
2019-06-04,-420,-420,eval,-272.0,-272.0,4718,0,0,0,19,eval_trade
2019-06-06,704,704,eval,432.0,432.0,4718,0,0,0,21,eval_trade
2019-06-11,704,704,eval,1136.0,1136.0,4718,0,0,0,26,eval_trade
2019-06-13,-420,-420,eval,716.0,716.0,4718,0,0,0,28,eval_trade
2019-06-18,-420,-420,resetting,0.0,0.0,4678,0,0,0,0,eval_expired_30days
2019-06-19,704,704,eval,704.0,704.0,4678,0,0,0,1,eval_trade
2019-06-20,-420,-420,eval,284.0,284.0,4678,0,0,0,2,eval_trade
2019-06-27,-420,-420,eval,-136.0,-136.0,4678,0,0,0,9,eval_trade
2019-07-08,-420,-420,eval,-556.0,-556.0,4678,0,0,0,20,eval_trade
2019-07-10,-420,0,resetting,0.0,0.0,4638,0,0,0,0,eval_failed_trailing_dd
2019-07-15,-420,-420,eval,-420.0,-420.0,4638,0,0,0,5,eval_trade
2019-07-22,704,704,eval,284.0,284.0,4638,0,0,0,12,eval_trade
2019-07-23,704,704,eval,988.0,988.0,4638,0,0,0,13,eval_trade
2019-07-24,-420,-420,eval,568.0,568.0,4638,0,0,0,14,eval_trade
2019-07-25,-420,-420,eval,148.0,148.0,4638,0,0,0,15,eval_trade
2019-07-29,-420,-420,eval,-272.0,-272.0,4638,0,0,0,19,eval_trade
2019-08-01,-420,0,resetting,0.0,0.0,4598,0,0,0,0,eval_failed_trailing_dd
2019-08-08,-420,-420,eval,-420.0,-420.0,4598,0,0,0,7,eval_trade
2019-08-13,-420,-420,eval,-840.0,-840.0,4598,0,0,0,12,eval_trade
2019-08-27,-420,-420,eval,-1260.0,-1260.0,4598,0,0,0,26,eval_trade
2019-09-04,704,704,resetting,0.0,0.0,4558,0,0,0,0,eval_expired_30days
2019-09-05,-420,-420,eval,-420.0,-420.0,4558,0,0,0,1,eval_trade
2019-09-19,-420,-420,eval,-840.0,-840.0,4558,0,0,0,15,eval_trade
2019-09-26,-420,-420,eval,-1260.0,-1260.0,4558,0,0,0,22,eval_trade
2019-10-14,704,704,resetting,0.0,0.0,4518,0,0,0,0,eval_expired_30days
2019-10-17,704,704,eval,704.0,704.0,4518,0,0,0,3,eval_trade
2019-10-22,-420,-420,eval,284.0,284.0,4518,0,0,0,8,eval_trade
2019-10-28,-420,-420,eval,-136.0,-136.0,4518,0,0,0,14,eval_trade
2019-11-05,-420,-420,eval,-556.0,-556.0,4518,0,0,0,22,eval_trade
